TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_NAME,COLLATION_NAME,COLUMN_TYPE,COLUMN_KEY,EXTRA,PRIVILEGES,COLUMN_COMMENT,GENERATION_EXPRESSION,SRS_ID
def,abccompany,buys,Customer_ID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,buys,ProductID,2,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,buys,SalesTime,3,NULL,NO,datetime,NULL,NULL,NULL,NULL,0,NULL,NULL,datetime,PRI,,"select,insert,update",,,NULL
def,abccompany,candidate,Personal_ID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,creates,Personal_ID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,creates,ProductID,2,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,customer,Personal_ID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,customer,PrefSalesmen,2,NULL,YES,varchar,80,320,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(80),,,"select,insert,update",,,NULL
def,abccompany,department,DeptID,1,NULL,NO,int,NULL,NULL,10,0,NULL,NULL,NULL,int,PRI,,"select,insert,update",,,NULL
def,abccompany,department,DeptName,4,NULL,NO,varchar,80,320,NULL,NULL,NULL,utf8mb4,utf8mb4_0900_ai_ci,varchar(80),,,"select,insert,update",,,NULL
def,abccompany,department,EndTime,3,NULL,YES,time,NULL,NULL,NULL,NULL,0,NULL,NULL,time,,,"select,insert,update",,,NULL
def,abccompany,department,StartTime,2,NULL,YES,time,NULL,NULL,NULL,NULL,0,NULL,NULL,time,,,"select,insert,update",,,NULL
